id,category,difficulty,question,choice1,choice2,choice3,choice4,answer_0based,explanation,era,tags_pipe_separated
gpq_00001,歴代王者・記録,1,F1世界選手権の初代ドライバーズチャンピオンは誰？,ジュゼッペ・ファリーナ,ファン・マヌエル・ファンジオ,アルベルト・アスカリ,スターリング・モス,0,1950年の初代王者はジュゼッペ・ファリーナです。,1950s,champion
gpq_00002,歴代王者・記録,2,ファン・マヌエル・ファンジオが獲得したドライバーズタイトル数は？,3回,4回,5回,7回,2,ファンジオは1950年代に5度の王者となりました。,1950s,champion
gpq_00003,歴代王者・記録,2,アルベルト・アスカリが連覇した年の組み合わせは？,1950年・1951年,1952年・1953年,1954年・1955年,1956年・1957年,1,アスカリは1952年と1953年に連続王者となりました。,1950s,champion
gpq_00004,歴代王者・記録,2,スターリング・モスについて正しい説明は？,F1王者を3回獲得した,F1王者にはなっていないが名手として知られる,フェラーリ専属で全キャリアを過ごした,1990年代の王者である,1,スターリング・モスは王者未経験ながら、F1史上屈指の名手として知られます。,1950s,driver
gpq_00005,歴代王者・記録,3,親子でF1ドライバーズチャンピオンになった組み合わせは？,グラハム・ヒルとデイモン・ヒル,ジル・ヴィルヌーヴとジャック・ヴィルヌーヴ,ケケ・ロズベルグとニコ・ロズベルグ,1と3の両方,3,グラハム/デイモン・ヒル、ケケ/ニコ・ロズベルグはいずれも親子王者です。,1990s,champion|family
gpq_00006,歴代王者・記録,2,アイルトン・セナのドライバーズタイトル獲得回数は？,2回,3回,4回,5回,1,セナは1988年、1990年、1991年の3回王者になりました。,1980s,driver
gpq_00007,歴代王者・記録,2,アラン・プロストのドライバーズタイトル獲得回数は？,3回,4回,5回,7回,1,プロストは1985年、1986年、1989年、1993年の4回王者です。,1980s,driver
gpq_00008,歴代王者・記録,1,ミハエル・シューマッハのドライバーズタイトル獲得回数は？,5回,6回,7回,8回,2,シューマッハは通算7回のドライバーズタイトルを獲得しました。,2000s,driver
gpq_00009,歴代王者・記録,1,ルイス・ハミルトンが初めてF1王者になった年は？,2007年,2008年,2009年,2010年,1,ハミルトンは2008年に初タイトルを獲得しました。,2000s,driver
gpq_00010,歴代王者・記録,2,キミ・ライコネンがドライバーズタイトルを獲得した年は？,2005年,2006年,2007年,2008年,2,ライコネンは2007年にフェラーリで王者になりました。,2000s,driver
gpq_00011,歴代王者・記録,1,ジェンソン・バトンが2009年に王者になったチームは？,マクラーレン,ブラウンGP,ウィリアムズ,ルノー,1,バトンは2009年にブラウンGPで王者になりました。,2000s,team
gpq_00012,歴代王者・記録,2,ニコ・ロズベルグがF1王者になった年は？,2014年,2015年,2016年,2017年,2,ロズベルグは2016年にメルセデスで王者になりました。,2010s,driver
gpq_00013,歴代王者・記録,1,マックス・フェルスタッペンが初めてF1王者になった年は？,2019年,2020年,2021年,2022年,2,フェルスタッペンは2021年に初タイトルを獲得しました。,2020s,driver
gpq_00014,歴代王者・記録,2,セバスチャン・ベッテルが4連覇した期間は？,2007〜2010年,2010〜2013年,2012〜2015年,2014〜2017年,1,ベッテルは2010年から2013年まで4年連続で王者になりました。,2010s,driver
gpq_00015,歴代王者・記録,2,フェルナンド・アロンソが連覇した年は？,2003年・2004年,2005年・2006年,2007年・2008年,2009年・2010年,1,アロンソはルノーで2005年と2006年に連覇しました。,2000s,driver
gpq_00016,歴代王者・記録,2,2025年のドライバーズチャンピオンとしてアプリ初期データに登録している人物は？,ランド・ノリス,マックス・フェルスタッペン,オスカー・ピアストリ,ジョージ・ラッセル,0,この初期データでは、2025年の公式結果アーカイブに基づきランド・ノリスを登録しています。,2020s,latest
gpq_00017,チーム・コンストラクター,1,F1で最も歴史が長く、全シーズン参戦で知られるチームは？,フェラーリ,メルセデス,レッドブル,アルピーヌ,0,フェラーリはF1の歴史を代表する名門チームです。,all,team
gpq_00018,チーム・コンストラクター,2,マクラーレンの創設者として知られる人物は？,ブルース・マクラーレン,フランク・ウィリアムズ,コーリン・チャップマン,エンツォ・フェラーリ,0,マクラーレンはブルース・マクラーレンに由来します。,1960s,team
gpq_00019,チーム・コンストラクター,2,ウィリアムズF1の創設に深く関わった人物の組み合わせは？,フランク・ウィリアムズとパトリック・ヘッド,ロン・デニスとエイドリアン・ニューウェイ,エンツォ・フェラーリとマウロ・フォルギエリ,ケン・ティレルとジャッキー・スチュワート,0,ウィリアムズはフランク・ウィリアムズとパトリック・ヘッドの名と深く結びつきます。,1970s,team
gpq_00020,チーム・コンストラクター,2,ブラウンGPがF1に参戦して王者になった年は？,2008年,2009年,2010年,2011年,1,ブラウンGPは2009年のみ参戦し、ドライバーズとコンストラクターズの両タイトルを獲得しました。,2000s,team
gpq_00021,チーム・コンストラクター,2,ベネトン時代にミハエル・シューマッハが初タイトルを獲得した年は？,1992年,1993年,1994年,1996年,2,シューマッハは1994年にベネトンで初タイトルを獲得しました。,1990s,team
gpq_00022,チーム・コンストラクター,2,レッドブル・レーシングが初めてコンストラクターズ王者になった年は？,2009年,2010年,2011年,2012年,1,レッドブルは2010年に初のコンストラクターズタイトルを獲得しました。,2010s,team
gpq_00023,チーム・コンストラクター,1,2024年のコンストラクターズ王者は？,マクラーレン,レッドブル,フェラーリ,メルセデス,0,2024年のコンストラクターズ王者はマクラーレンです。,2020s,team
gpq_00024,チーム・コンストラクター,2,ジョーダン・グランプリから発展した系譜に最も近い現在系のチーム名は？,アストンマーティン,フェラーリ,メルセデス,ハース,0,ジョーダンは後にミッドランド、スパイカー、フォース・インディア、レーシングポイントを経てアストンマーティンへつながる系譜です。,2000s,team
gpq_00025,チーム・コンストラクター,2,トヨタがF1にワークス参戦した期間として正しいものは？,1998〜2004年,2002〜2009年,2010〜2016年,2014〜2020年,1,トヨタは2002年から2009年までF1にワークス参戦しました。,2000s,japan|team
gpq_00026,チーム・コンストラクター,2,スーパーアグリがF1に参戦した主な期間は？,2001〜2003年,2006〜2008年,2010〜2012年,2014〜2016年,1,スーパーアグリは2006年から2008年にかけて参戦しました。,2000s,japan|team
gpq_00027,F1マシン・技術,1,DRSの主な目的は？,ブレーキ温度を下げる,空気抵抗を減らして追い抜きを助ける,燃料を追加する,タイヤを冷却する,1,DRSはリアウイングの一部を開き、空気抵抗を減らして直線速度を伸ばす仕組みです。,2010s,technology
gpq_00028,F1マシン・技術,1,HaloがF1で正式導入された年は？,2016年,2017年,2018年,2019年,2,Haloは2018年からF1に正式導入されました。,2010s,safety
gpq_00029,F1マシン・技術,2,ターボエンジンをF1に本格的に持ち込んだメーカーとして有名なのは？,ルノー,ホンダ,BMW,フォード,0,ルノーは1977年にターボエンジンのF1マシンを投入しました。,1970s,engine
gpq_00030,F1マシン・技術,2,現代F1のV6ターボハイブリッド時代が始まった年は？,2010年,2012年,2014年,2016年,2,V6ターボハイブリッドのパワーユニット規定は2014年から始まりました。,2010s,engine
gpq_00031,F1マシン・技術,3,グラウンドエフェクトカーで有名なロータスの代表的マシンは？,ロータス49,ロータス72,ロータス78,ロータス102,2,ロータス78はグラウンドエフェクトを活用した代表的マシンです。,1970s,aero
gpq_00032,F1マシン・技術,2,6輪F1マシンとして有名な車両は？,ティレルP34,ロータス79,マクラーレンMP4/4,フェラーリF2004,0,ティレルP34は前輪4本・後輪2本の6輪マシンとして有名です。,1970s,car
gpq_00033,F1マシン・技術,3,アクティブサスペンションで圧倒的な強さを見せた1992年のウィリアムズ車は？,FW11B,FW14B,FW18,FW26,1,ウィリアムズFW14Bはアクティブサスペンションなどの技術で知られます。,1990s,car
gpq_00034,F1マシン・技術,3,F1でセミオートマチックギアボックスを本格的に印象づけた1989年のフェラーリ車は？,640,F2002,312T,F187,0,フェラーリ640はセミオートマチックギアボックスで知られます。,1980s,gearbox
gpq_00035,F1マシン・技術,2,2010年以降、決勝中の給油について正しい説明は？,自由に給油できる,基本的に禁止された,雨天時のみ可能,セーフティカー中のみ可能,1,2010年からレース中の給油は禁止されました。,2010s,rules|fuel
gpq_00036,F1マシン・技術,2,2022年の大きな車両規則変更で重視された空力コンセプトは？,グラウンドエフェクト,6輪化,給油復活,V12エンジン化,0,2022年規則ではフロア下の気流を活用するグラウンドエフェクトが重視されました。,2020s,aero
gpq_00037,F1マシン・技術,1,スリックタイヤとは何？,溝のないドライ用タイヤ,雨専用タイヤ,氷上用タイヤ,予選専用の燃料,0,スリックタイヤは溝がないドライ路面用タイヤです。,all,tyre
gpq_00038,F1マシン・技術,1,インターミディエイトタイヤが使われやすい状況は？,完全なドライ路面,小雨や乾きかけの路面,雪道,ピットレーンだけ,1,インターミディエイトはフルウェットほどではない濡れた路面で使われます。,all,tyre
gpq_00039,F1マシン・技術,2,ディフューザーの主な役割は？,燃料を噴射する,車体下の空気を整えてダウンフォースに寄与する,ドライバーを冷やす,無線を受信する,1,ディフューザーは車体下部の空気の流れを利用し、ダウンフォース発生に関係します。,all,aero
gpq_00040,F1マシン・技術,2,ERSとは何に関係する仕組み？,エネルギー回生・放出,タイヤ交換,無線通信,給油,0,ERSはエネルギー回生システムで、回収したエネルギーを走行に利用します。,2010s,hybrid
gpq_00041,サーキット・GP,1,モナコGPの特徴として最も適切なのは？,高速オーバル,市街地コースで抜きにくい,砂漠の常設コース,雪上レース,1,モナコは狭い市街地コースで、予選順位が非常に重要です。,all,circuit
gpq_00042,サーキット・GP,1,イタリアGPで有名なモンツァの通称は？,スピードの神殿,壁の迷宮,砂漠の城,海辺の峠,0,モンツァは高速コースとして『スピードの神殿』と呼ばれます。,all,circuit
gpq_00043,サーキット・GP,2,スパ・フランコルシャンで有名な区間は？,130R,オー・ルージュ／ラディオン,ターン8,ロウズ・ヘアピン,1,スパではオー・ルージュからラディオンへ抜ける区間が特に有名です。,all,circuit
gpq_00044,サーキット・GP,2,鈴鹿サーキットの大きな特徴は？,完全な楕円形,8の字レイアウト,全区間トンネル,砂利道コース,1,鈴鹿は立体交差を持つ8の字レイアウトで知られます。,all,japan|circuit
gpq_00045,サーキット・GP,2,シルバーストンがある国は？,イギリス,イタリア,ドイツ,スペイン,0,シルバーストンはイギリスGPの代表的な開催地です。,all,circuit
gpq_00046,サーキット・GP,2,インテルラゴスがある都市は？,リオデジャネイロ,サンパウロ,ブエノスアイレス,モンテビデオ,1,インテルラゴスはブラジルのサンパウロにあります。,all,circuit
gpq_00047,サーキット・GP,2,アブダビGPで使われるサーキットは？,ヤス・マリーナ,ロサイル,バーレーン・インターナショナル,マリーナベイ,0,アブダビGPはヤス・マリーナ・サーキットで開催されます。,2020s,circuit
gpq_00048,サーキット・GP,2,シンガポールGPの特徴として正しいものは？,F1初期から続く雪上GP,ナイトレースとして有名,オーバルのみで構成,標高3000m超,1,シンガポールGPはナイトレースとして知られます。,2000s,circuit
gpq_00049,サーキット・GP,2,日本GPが初めてF1世界選手権として開催された年と場所は？,1976年・富士,1987年・鈴鹿,1994年・TI英田,2004年・鈴鹿,0,F1世界選手権としての日本GPは1976年に富士で開催されました。,1970s,japan
gpq_00050,サーキット・GP,2,メキシコシティのF1サーキット名は？,エルマノス・ロドリゲス,ジル・ヴィルヌーヴ,アルバートパーク,カタロニア,0,メキシコGPはエルマノス・ロドリゲス・サーキットで開催されます。,all,circuit
gpq_00051,ドライバー,1,ルイス・ハミルトンがF1デビューしたチームは？,マクラーレン,メルセデス,フェラーリ,ウィリアムズ,0,ハミルトンは2007年にマクラーレンからF1デビューしました。,2000s,driver
gpq_00052,ドライバー,2,マックス・フェルスタッペンがF1デビューしたチーム名は？,レッドブル,トロ・ロッソ,メルセデス,ルノー,1,フェルスタッペンは2015年にトロ・ロッソからF1デビューしました。,2010s,driver
gpq_00053,ドライバー,2,シャルル・ルクレールがF1デビューしたチームは？,フェラーリ,ザウバー,マクラーレン,レッドブル,1,ルクレールは2018年にザウバーからF1デビューしました。,2010s,driver
gpq_00054,ドライバー,2,ジョージ・ラッセルがF1デビューしたチームは？,ウィリアムズ,メルセデス,マクラーレン,アルピーヌ,0,ラッセルは2019年にウィリアムズからF1デビューしました。,2010s,driver
gpq_00055,ドライバー,2,ランド・ノリスがF1デビューしたチームは？,マクラーレン,レッドブル,フェラーリ,ハース,0,ノリスは2019年にマクラーレンからF1デビューしました。,2010s,driver
gpq_00056,ドライバー,2,オスカー・ピアストリがF1デビューしたチームは？,アルピーヌ,マクラーレン,ウィリアムズ,ハース,1,ピアストリは2023年にマクラーレンからF1デビューしました。,2020s,driver
gpq_00057,ドライバー,3,1997年のF1王者は？,ミハエル・シューマッハ,ジャック・ヴィルヌーヴ,デイモン・ヒル,ミカ・ハッキネン,1,1997年の王者はジャック・ヴィルヌーヴです。,1990s,driver
gpq_00058,ドライバー,2,ミカ・ハッキネンが連覇した年は？,1996年・1997年,1998年・1999年,2000年・2001年,2002年・2003年,1,ハッキネンは1998年と1999年に王者になりました。,1990s,driver
gpq_00059,ドライバー,2,デイモン・ヒルが王者になった年は？,1994年,1995年,1996年,1997年,2,デイモン・ヒルは1996年に王者となりました。,1990s,driver
gpq_00060,ドライバー,2,ナイジェル・マンセルが王者になった年は？,1989年,1990年,1991年,1992年,3,マンセルは1992年にウィリアムズで王者になりました。,1990s,driver
gpq_00061,日本人・日本GP,1,日本人初のF1表彰台として有名なドライバーは？,中嶋悟,鈴木亜久里,佐藤琢磨,小林可夢偉,1,鈴木亜久里は1990年日本GPで3位表彰台を獲得しました。,1990s,japan
gpq_00062,日本人・日本GP,2,佐藤琢磨がF1で表彰台を獲得したレースは？,2004年アメリカGP,2005年日本GP,2006年モナコGP,2007年カナダGP,0,佐藤琢磨は2004年アメリカGPで3位表彰台を獲得しました。,2000s,japan
gpq_00063,日本人・日本GP,2,小林可夢偉がF1表彰台を獲得したレースは？,2010年日本GP,2011年カナダGP,2012年日本GP,2013年中国GP,2,小林可夢偉は2012年日本GPで3位表彰台を獲得しました。,2010s,japan
gpq_00064,日本人・日本GP,1,角田裕毅がF1デビューした年は？,2019年,2020年,2021年,2022年,2,角田裕毅は2021年にF1デビューしました。,2020s,japan
gpq_00065,日本人・日本GP,2,ホンダがF1で初優勝した1965年メキシコGPのドライバーは？,リッチー・ギンサー,ジョン・サーティース,グラハム・ヒル,ジャッキー・スチュワート,0,ホンダの初優勝はリッチー・ギンサーによる1965年メキシコGPです。,1960s,japan|engine
gpq_00066,日本人・日本GP,2,鈴鹿で行われる日本GPの名物コーナーの一つは？,130R,オー・ルージュ,パラボリカ,ターン8,0,鈴鹿の高速コーナーとして130Rが有名です。,all,japan|circuit
gpq_00067,日本人・日本GP,2,1987年にロータス・ホンダからF1フル参戦した日本人ドライバーは？,中嶋悟,片山右京,鈴木亜久里,井出有治,0,中嶋悟は1987年にロータス・ホンダからF1にフル参戦しました。,1980s,japan
gpq_00068,日本人・日本GP,2,1994年に日本でパシフィックGPが開催されたサーキットは？,鈴鹿,富士,TIサーキット英田,もてぎ,2,1994年と1995年のパシフィックGPはTIサーキット英田で開催されました。,1990s,japan
gpq_00069,ルール・レギュレーション,1,現在の一般的なF1決勝で優勝者に与えられるポイントは？,10点,18点,25点,50点,2,通常のフルポイントレースでは優勝者に25点が与えられます。,2010s,rules
gpq_00070,ルール・レギュレーション,1,F1で青旗が主に示す意味は？,雨が降り始めた,後方から速い車が来ている,ピットレーン閉鎖,レース終了,1,青旗は後方から速い車が接近していることを知らせます。,all,rules
gpq_00071,ルール・レギュレーション,2,パルクフェルメとは何に関するルール？,観客席の販売,予選後などの車両状態管理,テレビ中継権,給油設備,1,パルクフェルメは予選後などにマシンの仕様変更を制限する仕組みです。,all,rules
gpq_00072,ルール・レギュレーション,2,F1のスプリント形式が初めて導入された年は？,2018年,2019年,2020年,2021年,3,F1のスプリント形式は2021年に導入されました。,2020s,rules
gpq_00073,ルール・レギュレーション,2,107%ルールが関係するセッションは主にどれ？,予選,表彰式,ピットストップ練習,ドライバーズパレード,0,107%ルールは予選タイムと決勝出走資格に関係します。,all,rules
gpq_00074,ルール・レギュレーション,2,VSCとは何の略？,Virtual Safety Car,Variable Speed Control,Victory Start Check,Vehicle Signal Code,0,VSCはVirtual Safety Carの略です。,2010s,rules
gpq_00075,ルール・レギュレーション,2,赤旗が出た場合、一般的にレースはどうなる？,即座に終了確定,一時中断される,全車に追加燃料が配られる,DRSが常時開放される,1,赤旗は重大な事故やコンディション悪化などでセッションを一時中断する際に使われます。,all,rules
gpq_00076,ルール・レギュレーション,1,チェッカーフラッグは何を示す？,レース終了,雨天開始,予選開始,燃料不足,0,チェッカーフラッグはセッションやレースの終了を示します。,all,rules
gpq_00077,名レース・事件,2,2008年ブラジルGPで初タイトルを決めたドライバーは？,フェリペ・マッサ,ルイス・ハミルトン,キミ・ライコネン,フェルナンド・アロンソ,1,ハミルトンは2008年ブラジルGPの最終盤でタイトルを決めました。,2000s,race
gpq_00078,名レース・事件,2,1989年と1990年の鈴鹿で激しく争ったライバル関係は？,セナとプロスト,ハミルトンとロズベルグ,ベッテルとウェバー,アロンソとライコネン,0,セナとプロストは鈴鹿でのタイトル争いでも有名です。,1980s,rivalry
gpq_00079,名レース・事件,2,2005年アメリカGPで出走台数が極端に少なくなった主な理由は？,大雪,タイヤ安全問題,燃料不足,全チームのストライキ,1,2005年アメリカGPではミシュラン勢が安全上の理由で決勝を走らず、少数台のレースとなりました。,2000s,race
gpq_00080,名レース・事件,2,2007年のスパイゲートで大きな処分を受けたチームは？,マクラーレン,フェラーリ,ルノー,ウィリアムズ,0,2007年のスパイゲートではマクラーレンが大きな処分を受けました。,2000s,incident
gpq_00081,名レース・事件,2,2008年シンガポールGPのクラッシュゲートで話題になったチームは？,ルノー,フェラーリ,マクラーレン,トヨタ,0,2008年シンガポールGPを巡るクラッシュゲートではルノーが大きな問題となりました。,2000s,incident
gpq_00082,名レース・事件,2,1997年最終戦ヘレスでシューマッハと接触したタイトル争いの相手は？,ジャック・ヴィルヌーヴ,デイモン・ヒル,ミカ・ハッキネン,デビッド・クルサード,0,1997年ヘレスではシューマッハとジャック・ヴィルヌーヴの接触が大きな事件となりました。,1990s,incident
gpq_00083,名レース・事件,3,2013年マレーシアGPの『Multi 21』で知られるチームは？,レッドブル,メルセデス,フェラーリ,ロータス,0,『Multi 21』はレッドブルのチームオーダーを巡る有名な出来事です。,2010s,paddock
gpq_00084,名レース・事件,3,2010年ドイツGPの『Fernando is faster than you』で知られるチームは？,フェラーリ,マクラーレン,メルセデス,ザウバー,0,この無線は2010年ドイツGPのフェラーリで有名になりました。,2010s,paddock
gpq_00085,名レース・事件,2,2021年アブダビGPで初タイトルを獲得したドライバーは？,ルイス・ハミルトン,マックス・フェルスタッペン,バルテリ・ボッタス,セルジオ・ペレス,1,2021年アブダビGPでフェルスタッペンが初タイトルを獲得しました。,2020s,race
gpq_00086,名レース・事件,2,1994年サンマリノGPで亡くなった伝説的ドライバーは？,アイルトン・セナ,ジル・ヴィルヌーヴ,ロニー・ピーターソン,ヨッヘン・リント,0,1994年サンマリノGPでアイルトン・セナが事故により亡くなりました。,1990s,race|safety
gpq_00087,パドック裏話・話題,2,2007年マクラーレンでチームメイトだった組み合わせは？,アロンソとハミルトン,ベッテルとウェバー,セナとプロスト,シューマッハとバリチェロ,0,2007年のマクラーレンはアロンソと新人ハミルトンの組み合わせでした。,2000s,paddock
gpq_00088,パドック裏話・話題,3,『GP2 engine』という無線で話題になったドライバーは？,フェルナンド・アロンソ,キミ・ライコネン,セバスチャン・ベッテル,ニコ・ロズベルグ,0,アロンソの『GP2 engine』発言はマクラーレン・ホンダ時代の有名な無線です。,2010s,paddock
gpq_00089,パドック裏話・話題,2,F1で『アイスマン』の愛称で知られるドライバーは？,キミ・ライコネン,ルイス・ハミルトン,ジェンソン・バトン,フェリペ・マッサ,0,キミ・ライコネンは『アイスマン』の愛称で知られます。,2000s,driver
gpq_00090,パドック裏話・話題,2,『ハニーバジャー』の愛称で知られるドライバーは？,ダニエル・リカルド,ランド・ノリス,バルテリ・ボッタス,カルロス・サインツ,0,ダニエル・リカルドは『ハニーバジャー』の愛称で知られます。,2010s,driver
gpq_00091,パドック裏話・話題,2,『プリンス・オブ・モナコ』と呼ばれることがある現代ドライバーは？,シャルル・ルクレール,ジョージ・ラッセル,ピエール・ガスリー,ニコ・ヒュルケンベルグ,0,モナコ出身のシャルル・ルクレールはそのように呼ばれることがあります。,2020s,driver
gpq_00092,パドック裏話・話題,2,2016年のハミルトンとロズベルグのチームメイト対決が起きたチームは？,メルセデス,マクラーレン,フェラーリ,レッドブル,0,2016年のタイトル争いはメルセデス内のハミルトンとロズベルグの争いでした。,2010s,rivalry
gpq_00093,パドック裏話・話題,2,『シューイ』パフォーマンスで有名なドライバーは？,ダニエル・リカルド,マックス・フェルスタッペン,フェリペ・マッサ,ニコ・ロズベルグ,0,リカルドは表彰台でシューイを披露することで知られます。,2010s,paddock
gpq_00094,パドック裏話・話題,2,フェラーリの地元イタリアで熱狂的ファンを指す言葉は？,ティフォシ,ウルトラス,ロッソ隊,スクーデリアズ,0,フェラーリファンは『ティフォシ』として知られます。,all,team
gpq_00095,年代別,2,1960年代後半から1970年代にかけてF1安全改革で大きな役割を果たしたドライバーは？,ジャッキー・スチュワート,ナイジェル・マンセル,アラン・ジョーンズ,ネルソン・ピケ,0,ジャッキー・スチュワートは安全性向上の活動でも知られます。,1970s,safety
gpq_00096,年代別,3,1970年の死後にF1王者となったドライバーは？,ヨッヘン・リント,ロニー・ピーターソン,ジル・ヴィルヌーヴ,クレイ・レガツォーニ,0,ヨッヘン・リントは1970年に死後チャンピオンとなりました。,1970s,champion
gpq_00097,年代別,2,1976年の王者は？,ジェームス・ハント,ニキ・ラウダ,マリオ・アンドレッティ,ジョディー・シェクター,0,1976年の王者はジェームス・ハントです。,1970s,champion
gpq_00098,年代別,2,1978年の王者は？,マリオ・アンドレッティ,ニキ・ラウダ,エマーソン・フィッティパルディ,アラン・ジョーンズ,0,1978年の王者はマリオ・アンドレッティです。,1970s,champion
gpq_00099,年代別,2,1980年の王者は？,アラン・ジョーンズ,ネルソン・ピケ,ケケ・ロズベルグ,ニキ・ラウダ,0,1980年の王者はアラン・ジョーンズです。,1980s,champion
gpq_00100,年代別,2,1982年の王者は？,ケケ・ロズベルグ,アラン・プロスト,ネルソン・ピケ,ナイジェル・マンセル,0,1982年の王者はケケ・ロズベルグです。,1980s,champion
gpq_00101,年代別,2,1983年の王者は？,ネルソン・ピケ,アラン・プロスト,ニキ・ラウダ,アイルトン・セナ,0,1983年の王者はネルソン・ピケです。,1980s,champion
gpq_00102,年代別,2,1984年の王者は？,ニキ・ラウダ,アラン・プロスト,ケケ・ロズベルグ,ミケーレ・アルボレート,0,1984年の王者はニキ・ラウダです。,1980s,champion
gpq_00103,年代別,2,1991年の王者は？,アイルトン・セナ,ナイジェル・マンセル,アラン・プロスト,ミハエル・シューマッハ,0,1991年の王者はアイルトン・セナです。,1990s,champion
gpq_00104,年代別,2,2000年にフェラーリで王者となったドライバーは？,ミハエル・シューマッハ,ミカ・ハッキネン,デビッド・クルサード,ルーベンス・バリチェロ,0,シューマッハは2000年にフェラーリで王者となり、その後連覇を重ねました。,2000s,champion
gpq_00105,年代別,2,2010年の王者は？,セバスチャン・ベッテル,フェルナンド・アロンソ,マーク・ウェバー,ルイス・ハミルトン,0,2010年の王者はセバスチャン・ベッテルです。,2010s,champion
gpq_00106,年代別,2,2020年の王者は？,ルイス・ハミルトン,マックス・フェルスタッペン,バルテリ・ボッタス,セバスチャン・ベッテル,0,2020年の王者はルイス・ハミルトンです。,2020s,champion
gpq_00107,超難問,4,ロータス25がF1史で有名な理由として最も近いものは？,モノコック構造を本格的に活用した,6輪だった,初のハイブリッド車だった,初のHalo装着車だった,0,ロータス25はモノコック構造を採用した革新的なF1マシンとして知られます。,1960s,car
gpq_00108,超難問,4,マクラーレンMP4/4が圧倒的だった年は？,1986年,1988年,1990年,1992年,1,MP4/4は1988年に圧倒的な成績を残したマシンです。,1980s,car
gpq_00109,超難問,3,フェラーリF2004で王者になったドライバーは？,ミハエル・シューマッハ,フェルナンド・アロンソ,キミ・ライコネン,ルーベンス・バリチェロ,0,F2004はシューマッハの2004年王座を支えた名車です。,2000s,car
gpq_00110,超難問,4,2012年シーズン序盤に『7戦7勝者』で話題になった理由は？,最初の7戦で勝者がすべて異なった,7戦すべて同じ人が勝った,7戦すべて雨だった,7戦すべて赤旗終了だった,0,2012年は開幕から7戦で勝者がすべて異なる展開となりました。,2010s,season
gpq_00111,超難問,4,F1で『ダブルディフューザー』が大きな話題になった年は？,2007年,2008年,2009年,2010年,2,2009年はダブルディフューザーが技術論争の中心になりました。,2000s,aero
gpq_00112,超難問,4,2009年にブラウンGP、トヨタ、ウィリアムズなどで注目された技術要素は？,ダブルディフューザー,6輪システム,アクティブサスペンション復活,給油システム,0,2009年のダブルディフューザーはシーズン序盤から大きな注目を集めました。,2000s,aero
gpq_00113,超難問,4,2014年開幕時、V6ターボハイブリッド時代で特に強さを見せたメーカー系チームは？,メルセデス,フェラーリ,ルノー,ホンダ,0,2014年の新PU時代ではメルセデスが圧倒的な強さを見せました。,2010s,engine
gpq_00114,超難問,4,F1で『ブロウンディフューザー』が大きく話題になった時代の代表チームは？,レッドブル,ミナルディ,スーパーアグリ,トヨタ,0,2010年代初頭のレッドブルはブロウンディフューザーなどの空力で注目されました。,2010s,aero
gpq_00115,最新シーズン,2,2023年のドライバーズチャンピオンは？,マックス・フェルスタッペン,ルイス・ハミルトン,シャルル・ルクレール,セルジオ・ペレス,0,2023年の王者はマックス・フェルスタッペンです。,2020s,latest
gpq_00116,最新シーズン,2,2024年のドライバーズチャンピオンは？,マックス・フェルスタッペン,ランド・ノリス,ルイス・ハミルトン,シャルル・ルクレール,0,2024年の王者はマックス・フェルスタッペンです。,2020s,latest
gpq_00117,最新シーズン,2,2024年のコンストラクターズ王者は？,マクラーレン,レッドブル,フェラーリ,メルセデス,0,2024年のコンストラクターズタイトルはマクラーレンが獲得しました。,2020s,latest
gpq_00118,最新シーズン,2,2025年のドライバーズランキング1位として初期データに登録しているドライバーは？,ランド・ノリス,マックス・フェルスタッペン,オスカー・ピアストリ,ジョージ・ラッセル,0,初期データではFormula 1公式Results Archiveの2025年結果を基準にしています。,2020s,latest
gpq_00119,最新シーズン,2,2025年のドライバーズランキング2位として初期データに登録しているドライバーは？,マックス・フェルスタッペン,ランド・ノリス,ジョージ・ラッセル,シャルル・ルクレール,0,初期データでは2025年の2位をマックス・フェルスタッペンとして登録しています。,2020s,latest
gpq_00120,最新シーズン,2,2025年のドライバーズランキング3位として初期データに登録しているドライバーは？,オスカー・ピアストリ,ジョージ・ラッセル,シャルル・ルクレール,ルイス・ハミルトン,0,初期データでは2025年の3位をオスカー・ピアストリとして登録しています。,2020s,latest
